"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0400000US01","Alabama","4874747","*****","4672777","2353","3191450","2158","1302295","6305","22209","2353","65494","2691","1432","772","8106","3642","81791","6172","2182","978","79609","6237","201970","2353","121268","6660","5172","1957","2972","1700","1414","884","149","285","59202","5790","11793","3085","7262","2208","4531","1861"
"0400000US02","Alaska","739795","*****","688083","110","448081","1095","21192","1803","105146","3312","48569","2031","8699","620","1210","973","55186","4674","774","631","54412","4566","51712","110","26775","2965","915","485","4802","2770","816","586","131","161","10069","1944","8204","1997","2921","1167","5283","1889"
"0400000US04","Arizona","7016270","*****","4814097","*****","3836639","4499","290379","6061","274496","5403","225810","4694","14951","2047","12312","4550","159510","9473","6986","2909","152524","9154","2202173","*****","1605778","24973","17276","3507","43478","6612","6707","1608","1502","832","420541","20297","106891","8482","47881","6340","59010","6834"
"0400000US05","Arkansas","3004279","*****","2780515","1357","2173307","2415","455500","5114","16901","2031","46583","3182","8220","1846","7629","3410","72375","4685","844","408","71531","4670","223764","1357","120000","6585","2867","1105","2209","939","1302","774","331","407","84261","6854","12794","2592","5837","1992","6957","2313"
"0400000US06","California","39536653","*****","24059347","*****","14616636","7788","2164239","16842","147880","6486","5679986","18800","137520","4791","107223","9425","1205863","27793","59147","5133","1146716","27239","15477306","*****","8565133","67715","107678","9806","165979","10715","85319","7130","16403","3184","5804580","64663","732214","24851","348557","16293","383657","17909"
"0400000US08","Colorado","5607154","*****","4400430","*****","3822055","2897","219500","5708","32102","3053","176176","4233","7137","1301","11528","2806","131932","6486","4440","1461","127492","6687","1206724","*****","898440","13286","9936","2081","24690","3660","3075","1020","1263","968","207661","11597","61659","6985","27419","3969","34240","5472"
"0400000US09","Connecticut","3588184","*****","3009351","*****","2393694","3077","354320","6030","7486","1570","162564","2958","137","140","13505","3611","77645","6759","4655","1500","72990","6474","578833","*****","329319","11553","26258","4535","3782","1707","1360","769","388","377","177868","11607","39858","4649","21230","4212","18628","3459"
"0400000US10","Delaware","961939","*****","872399","*****","597917","735","206690","3260","2344","713","38404","1578","244","214","1545","757","25255","3559","626","551","24629","3555","89540","*****","64167","3976","3666","1296","385","422","526","352","0","198","16827","3381","3969","1441","1535","687","2434","1234"
"0400000US11","District of Columbia","693972","*****","617446","*****","253416","1470","314705","2755","1574","428","28056","1492","217","184","3746","2029","15732","2673","388","431","15344","2634","76526","*****","31120","4154","3515","1400","116","145","443","466","85","148","36370","4357","4877","1555","2398","1097","2479","1210"
